HPE | {'공시': 166, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
CTAS | {'공시': 132, '계산(누적차감)': 18, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24, '계산(누적차감)(재작성 반영)': 5, '공시(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
MDLZ | {'공시': 194, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(재작성 반영)': 3} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 5s
CDNS | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2020Q4'] | 2s
SHW | {'공시': 134, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '공시(비지배 없음)': 28, '계산(연간-3분기누적)': 19, '미확인': 7} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
ITW | {'공시': 114, '공시(비지배 없음)': 23, '계산(부채및자본-총자본)': 30, '계산(총자본-비지배)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간-3분기누적, 비지배 없음)': 7} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2021Q2'] | 2s
MSI | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
SLB | {'공시': 190, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 19, '미확인': 9} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
EOG | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
ECL | {'공시': 188, '계산(연결-비지배)': 4, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 17, '계산(연간(연결-비지배)-3분기누적)': 1, '공시(비지배 없음)': 5, '계산(연간-3분기누적, 비지배 없음)': 2, '미확인': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
NOC | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
SNPS | {'공시': 196, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
CMI | {'공시': 173, '계산(연결-비지배)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간(연결-비지배)-3분기누적)': 7, '공시(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 8s
ROST | {'공시': 119, '미확인': 24, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 15} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
GM | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
TGT | {'공시': 135, '공시(보통주 귀속)': 2, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 18, '미확인': 3} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
FDX | {'공시': 133, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2019Q2'] | 2s
CVNA | {'공시': 179, '미확인': 20, '공시(재작성 반영)': 3, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 15, '계산(연간-3분기누적)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 20s
KMI | {'공시': 195, '공시(재작성 반영)': 2, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
NSC | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
재작성 기록: {'재분류(미반영)': 26, '재작성 검증 실패(원 공시 유지)': 46, '재작성 반영': 16}
rows: 6600 | 빈 값: 0 | 빈 출처: 0
