HPE | {'공시': 166, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
CTAS | {'공시': 133, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
MDLZ | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
CDNS | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2020Q4'] | 5s
SHW | {'공시': 134, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '공시(비지배 없음)': 28, '계산(연간-3분기누적)': 19, '미확인': 7} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
ITW | {'공시': 114, '공시(비지배 없음)': 23, '계산(부채및자본-총자본)': 30, '계산(총자본-비지배)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간-3분기누적, 비지배 없음)': 7} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2021Q2'] | 4s
MSI | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
SLB | {'공시': 190, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 19, '미확인': 9} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
EOG | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
ECL | {'공시': 188, '계산(연결-비지배)': 4, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 17, '계산(연간(연결-비지배)-3분기누적)': 1, '공시(비지배 없음)': 5, '계산(연간-3분기누적, 비지배 없음)': 2, '미확인': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
NOC | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
