HCA | {'공시': 148, '미확인': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(부채및자본-총자본)': 26} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
TT | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
DUK | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2020Q1'] | 12s
HWM | {'공시': 184, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '미확인': 1, '계산(연간-3분기누적)': 20, '공시(비지배 없음)': 13} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
CEG | {'미확인': 129, '데이터 없음(상장 전)': 3, '공시': 119, 'API': 18, '공시(표지 기준일)': 18, '계산(종가×주식수)': 18, '계산(누적차감)': 13, '계산(연간-3분기누적)': 12} | 검증실패 [('2021Q4', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 없음 | 7s
MAR | {'공시': 141, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 26, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2020Q4'] | 9s
WMB | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
JCI | {'공시': 143, '미확인': 30, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 10s
CSX | {'공시': 167, '계산(총자본-비지배)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
MMM | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 8s
WM | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2021Q4'] | 8s
UPS | {'공시': 165, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(비지배 없음)': 2} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 30s
EMR | {'공시': 143, '미확인': 30, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
DASH | {'미확인': 77, '데이터 없음(직전 보고서 없음)': 4, '공시': 126, '공시(비지배 없음)': 23, 'API': 23, '공시(표지 기준일)': 23, '계산(종가×주식수)': 23, '계산(누적차감)': 16, '계산(연간-3분기누적)': 15} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2025Q4'] | 29s
LITE | {'공시': 163, '계산(누적차감)': 23, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
DDOG | {'미확인': 22, '공시': 154, '데이터 없음(직전 보고서 없음)': 1, '공시(비지배 없음)': 28, 'API': 28, '공시(표지 기준일)': 28, '계산(종가×주식수)': 28, '계산(연간-3분기누적)': 21, '계산(누적차감)': 20} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 24s
MCO | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
INTU | {'공시': 163, '계산(누적차감)': 23, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
REGN | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 21s
CMCSA | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 24s
rows: 6600 | 빈 값: 0 | 빈 출처: 0
