WBD | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 11s
CL | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
HLT | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
ORLY | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
RSG | {'공시(재작성 반영)': 16, '공시': 151, '계산(부채및자본-총자본)': 29, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 19, '계산(연간-3분기누적)(재작성 반영)': 5, '계산(연간-3분기누적)': 16, '계산(누적차감)(재작성 반영)': 3, '계산(부채및자본-총자본)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
RCL | {'공시': 181, '공시(비지배 없음)': 16, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 20, '계산(연간-3분기누적)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
HON | {'공시': 158, '미확인': 14, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 16} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2026Q2'] | 3s
AEP | {'공시': 175, '계산(연결-비지배)': 19, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간(연결-비지배)-3분기누적)': 6, '공시(재작성 반영)': 3, '계산(연간(연결-비지배)-3분기누적)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 52s
URI | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
APD | {'공시': 196, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
BSX | {'공시': 128, '공시(비지배 없음)': 28, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간-3분기누적, 비지배 없음)': 4, '계산(연결-비지배)': 10, '계산(연간(연결-비지배)-3분기누적)(재작성 반영)': 2, '계산(연결-비지배)(재작성 반영)': 1, '계산(연간(연결-비지배)-3분기누적)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2023Q4'] | 3s
TRGP | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
COHR | {'공시': 181, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 22, '미확인': 14} | 검증실패 [('2022Q2', '자산=부채+자본'), ('2023Q2', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 ['2021Q3'] | 4s
MRNA | {'공시': 157, '공시(재작성 반영)': 10, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)(재작성 반영)': 3, '계산(연간-3분기누적)': 19, '계산(연간-3분기누적)(재작성 반영)': 2, '계산(누적차감)': 19} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
PCAR | {'공시': 108, '미확인': 30, '계산(부채및자본-총자본)': 26, '공시(비지배 없음)': 26, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '공시(재작성 반영)': 6, '계산(부채및자본-총자본)(재작성 반영)': 4, '공시(비지배 없음)(재작성 반영)': 4} | 검증실패 [('2020Q4', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 없음 | 4s
TDG | {'공시': 196, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2021Q3'] | 4s
MPWR | {'공시': 152, '공시(비지배 없음)': 26, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 19, '계산(연간-3분기누적)(재작성 반영)': 2, '공시(재작성 반영)': 15, '공시(비지배 없음)(재작성 반영)': 4} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
GWW | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
TEL | {'공시': 170, '계산(누적차감)': 23, '공시(비지배 없음)': 26, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
COR | {'공시': 166, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
재작성 기록: {'재분류(미반영)': 30, '재작성 검증 실패(원 공시 유지)': 37, '재작성 반영': 83}
rows: 6600 | 빈 값: 0 | 빈 출처: 0
