HCA | {'공시': 148, '미확인': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(부채및자본-총자본)': 26} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
TT | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
DUK | {'공시': 165, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '공시(재작성 반영)': 2, '계산(누적차감)': 22, '계산(연간-3분기누적)': 20, '계산(연간-3분기누적)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2020Q1'] | 4s
HWM | {'공시': 181, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '미확인': 1, '계산(연간-3분기누적)': 20, '공시(재작성 반영)': 3, '공시(비지배 없음)': 13} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
CEG | {'미확인': 129, '데이터 없음(상장 전)': 3, '공시': 119, 'API': 18, '공시(표지 기준일)': 18, '계산(종가×주식수)': 18, '계산(누적차감)': 13, '계산(연간-3분기누적)': 12} | 검증실패 [('2021Q4', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 없음 | 6s
MAR | {'공시': 141, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 26, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2020Q4'] | 3s
WMB | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
JCI | {'공시': 143, '미확인': 30, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
CSX | {'공시': 142, '계산(총자본-비지배)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 17, '계산(연간-3분기누적)': 17, '계산(총자본-비지배)(재작성 반영)': 7, '계산(연간-3분기누적)(재작성 반영)': 4, '계산(누적차감)(재작성 반영)': 5, '공시(재작성 반영)': 25} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
MMM | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 5s
WM | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2021Q4'] | 2s
UPS | {'공시': 165, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(비지배 없음)': 2} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 22s
EMR | {'공시': 143, '미확인': 30, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
DASH | {'미확인': 77, '데이터 없음(직전 보고서 없음)': 4, '공시': 126, '공시(비지배 없음)': 23, 'API': 23, '공시(표지 기준일)': 23, '계산(종가×주식수)': 23, '계산(누적차감)': 16, '계산(연간-3분기누적)': 15} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2025Q4'] | 16s
LITE | {'공시': 163, '계산(누적차감)': 23, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
DDOG | {'미확인': 22, '공시': 154, '데이터 없음(직전 보고서 없음)': 1, '공시(비지배 없음)': 28, 'API': 28, '공시(표지 기준일)': 28, '계산(종가×주식수)': 28, '계산(연간-3분기누적)': 21, '계산(누적차감)': 20} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 21s
MCO | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
INTU | {'공시': 163, '계산(누적차감)': 23, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
REGN | {'공시(재작성 반영)': 3, '공시': 164, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)(재작성 반영)': 1, '계산(연간-3분기누적)': 20} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 21s
CMCSA | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 22s
재작성 기록: {'재분류(미반영)': 61, '재작성 검증 실패(원 공시 유지)': 41, '재작성 반영': 51}
rows: 6600 | 빈 값: 0 | 빈 출처: 0
