AMD | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2025Q4'] | 7s
WMT | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 8s
XOM | {'공시': 174, '미확인': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 10s
V | {'공시': 166, '계산(누적차감)': 23, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 35s
JNJ | {'공시': 154, '미확인': 30, '공시(비지배 없음)': 20, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
INTC | {'공시': 152, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 15, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
MA | {'공시': 174, '계산(연결-비지배)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '미확인': 1, '계산(연간(연결-비지배)-3분기누적)': 6} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 38s
ABBV | {'공시': 162, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 5, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
CSCO | {'공시': 166, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24, '공시(비지배 없음)': 27} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
PLTR | {'미확인': 66, '공시': 147, '데이터 없음(직전 보고서 없음)': 1, '공시(비지배 없음)': 9, 'API': 24, '공시(표지 기준일)': 24, '계산(종가×주식수)': 24, '계산(연간-3분기누적)': 18, '계산(누적차감)': 17} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 27s
rows: 3300 | 빈 값: 0 | 빈 출처: 0
